symbol,name,description,isin,assetclass,domicile,website,etfcompany,expenseratio,totalasset,avgvolume,inceptiondate,nav,navcurrency,holdingscount,returns_12m,volatility_12m,returns_24m,volatility_24m,returns_36m,volatility_36m,returns_5y,ten_year_return,ten_year_volatility,sharpe_12m,sharpe_24m,sharpe_36m,ten_year_sharpe,max_drawdown,dividends_12m,dividends_24m,dividends_36m,dividends_all_time,size_category,liquidity_category,etf_type
BBRE,JPMorgan BetaBuilders MSCI U.S. REIT ETF,"The fund will invest at least 80% of its assets in securities included in the underlying index. The underlying index is a free-float adjusted market-cap weighted index designed to measure the performance of U.S. equity real estate investment trust (""REIT"") securities. The fund may invest up to 20% of its assets in exchange-traded futures to seek performance that corresponds to the underlying index.",,Real Estate,,,JPMorgan,,900289920,28396,,93.852,USD,,8.868239497379404,18.66564733270897,17.964723154815452,18.322026695326432,12.287257963018572,19.83588768102605,51.961477586030846,48.021259871693786,23.507341126893124,0.3679614949835552,0.8713404592346611,0.518618482240087,1.9577399087063927,-18.917282192847264,0.0,0.0,0.0,0.0,Small,Low,Equity
LALT,First Trust Multi-Strategy Alternative ETF,"The fund is an actively managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by allocating its assets amongst a variety of alternative asset categories and strategies in an effort to provide lower correlation and diversifying risk exposures compared to traditional equity and fixed income benchmarks (e.g., the S&P 500® Index or Bloomberg Aggregate Bond Index) over various market cycles. The fund is non-diversified.",,Multistrategy,,,First Trust,,18792588,8940,,21.14,USD,,4.593185998207505,6.560711449230889,11.344046416953743,5.51206561019851,10.815018634634852,5.209705776516962,10.815018634634852,10.815007552459187,5.209711300566019,0.395259876657356,1.695198692785014,1.6920377105304178,1.6920337891854902,-6.964814257075657,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
IXP,iShares Global Comm Services ETF,The fund invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of global equities in the communication services sector. The fund is non-diversified.,,Communications,,,iShares,,416572992,38156,,108.47642,USD,,25.07124587320464,18.59958970061756,68.76395803913515,17.1726859136724,80.49190981955374,19.22732841666701,96.71898037782869,118.1307633336984,18.614988171411586,1.2404169255646869,3.8877994027701632,4.082309726998465,6.238562295304009,-17.54418913248331,0.0,0.0,0.0,0.0,Small,Low,Equity
JIRE,JPMorgan International Research Enhanced Equity ETF,"Under normal circumstances, the fund invests at least 80% of its assets in equity securities. It seeks to outperform the MSCI EAFE Index over time while maintaining similar risk characteristics, including sector and geographic risks. In implementing its strategy, the fund primarily invests in securities included within the universe of the index. In addition, it may also invest in securities not included within the index. The fund only invests in the securities of companies located in developed markets.",,Foreign Large Blend,,,JPMorgan,,7255761920,443104,,69.8755,USD,,15.330438574353431,17.70623567317867,32.130627073689986,15.146146076527184,54.208415223965886,16.318511582999456,55.89390778917196,55.89392104456956,16.42528213252719,0.7528668894058789,1.9893263224487896,3.1993368364769466,3.281156488499078,-13.608742053679237,0.0,0.0,0.0,0.0,Medium,Medium,Equity
NFRA,FlexShares STOXX Global Broad Infrastructure Index Fund,"The index reflects the performance of a selection of companies that, in aggregate, offer broad exposure to publicly-traded developed- and emerging-market infrastructure companies, including U.S. companies, as defined by STOXX Ltd. (the ""index provider"") pursuant to its index methodology. Under normal circumstances, the fund will invest at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index.",,Infrastructure,,,Flexshares Trust,,2522407168,208929,,61.0194,USD,,18.74453917828265,12.859728877690715,25.517147272184125,12.228382608726422,27.02384956894868,13.55883856720848,48.75007741574795,76.25240809569709,15.418631465986511,1.3020911511852613,1.92316089745195,1.8455747109098173,4.81575866570894,-9.1534506799941,0.0,0.0,0.0,0.0,Medium,Medium,Equity
DRAI,EA Series Trust - Draco Evolution AI ETF,"The fund is an actively managed non-diversified ETF that seeks to achieve its investment objective by investing in asset classes that Draco Evolution Corp., the fund’s sub-adviser believes offer the most attractive combined risk/return opportunities. The term “asset classes” generally includes, among others, U.S. equities of small-, mid- and large- capitalization companies, gold, fixed-income securities etc. The fund is non-diversified.",,Conservative Allocation,,,Draco Capital Partners,,13019729,859,,25.9511,USD,,9.582381449132304,19.18193336515116,9.582381449132304,19.18193336515116,9.582372913147896,19.181927349365367,9.582372913147896,9.582381449132304,19.18193336515116,0.3952876545232725,0.3952876545232725,0.3952873334909569,0.3952876545232725,-13.684437083749035,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
MNBD,ALPS Intermediate Municipal Bond ETF,"Under normal circumstances, the fund will invest at least 80% of its net assets, plus any borrowings for investment purposes, in municipal bonds that pay interest that is generally excludable from gross income for federal income tax purposes (except that the interest paid by certain municipal securities may be includable in taxable income for purposes of the federal alternative minimum tax).",,Muni National Interm,,,ALPS,,36586220,3062,,25.2593,USD,,2.720980863294553,3.887611061226459,7.166366726864282,3.9026934468215777,11.748766708460234,3.954269048453534,13.079300908993918,13.079329771876823,4.07784902160066,0.1854560170602814,1.3237951679427606,2.4653776940830205,2.7169543828593987,-3.172677693296577,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
SUSB,iShares ESG 1-5 Year USD Corporate Bond ETF,"The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index has been developed by Bloomberg Finance L.P. and its affiliates with environmental, social and governance (""ESG"") rating inputs from MSCI ESG Research LLC pursuant to an agreement between MSCI ESG Research and Bloomberg Index Services Limited, a subsidiary of Bloomberg.",,Short-Term Bond,,,iShares,,980867136,125761,,24.90075,USD,,7.112864352039749,2.5217471083062826,13.139071460637886,2.7693185968053053,15.495060006941651,3.2263689221814764,9.603489589639258,22.8324621913637,3.883957593669649,2.027508759779555,4.022314902116338,4.182739275153043,5.363720300478546,-1.3599996495440525,0.0,0.0,0.0,0.0,Small,Medium,Equity
DEE,DB Commodity Double Short ETN,"The index is intended to reflect changes in the market value of certain commodity futures contracts based on crude oil, heating oil, corn, wheat, gold and aluminum. The T-Bill Index is intended to approximate the returns from investing in 3-month United States Treasury bills on a rolling basis.",,Trading--Inverse Commodities,,,Deutsche Bank AG,,25202,,,12.03219,USD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.170048371065947,28.59183807272142,,,,-0.1458475093647253,0.0,0.0,0.0,0.0,0.0,Micro,Very Low,Equity
DFAX,Dimensional World ex U.S. Core Equity 2 ETF,"Generally, the Advisor buys and sells securities for the Portfolio with the goals of: (i) delaying and minimizing the realization of net capital gains (e.g., selling stocks with capital losses to offset gains, realized or anticipated); and (ii) maximizing the extent to which any realized net capital gains are long-term in nature (i.e., taxable at lower capital gains tax rates). The Portfolio is designed to purchase a broad and diverse group of equity securities of non-U.S. companies in countries with developed and emerging markets.",,Foreign Large Blend,,,Dimensional Fund Advisors,,8317399552,782612,,28.9932,USD,,18.884083802266986,16.627402465611848,34.90884365755662,14.467899303726083,47.064972334144194,15.578559356442206,21.07525894937652,21.07524935423637,16.197214165682052,1.01543724807203,2.27461105214364,2.892756082449207,1.177687049088489,-13.891415428946718,0.0,0.0,0.0,0.0,Medium,Medium,Equity
